flirty, milani, , matte, yes, no, I reach for this color often, flirty.gif
ripe berry, NYX, butter lipstick, satin, mostly, yes, dead - killed by dryer, ripe berry.gif
twig, MAC, , satin, mostly, some, , twig.gif
burnt violet, MAC, liptensity, satin, somewhat, yes, leaves a nice stain behind, burnt violet.gif
meritage, bite beauty, , glossy, mostly, yes, loses gloss easily, meritage.gif
tehran, mellow cosmetics, lip paint, matte, hard to say, no, MLBB, tehran.gif
belize bordeaux, trestique, , matte, mostly, no, looks like a stain/slightly drying, belize bordeaux.gif
barracuda, colourpop, , matte, yes, yes, high transfer but will survive eating/drinking, barracuda.gif
vibin, tarte, lip paint, matte, mostly, no, easy to apply but does not survive food, vibin.gif
cabaret blend, milani, , satin, yes, yes, looks better blotted, cabaret blend.gif
rikugien, NARS, lip pencil, satin, no, yes, easy to apply, rikugien.gif
fire dancer, NYX, slip tease, matte, mostly, no, needs a lip liner, fire dancer.gif
loved, milani, , matte, yes, no, may need a lip liner, loved.gif
kiss kiss bang bang, marc jacobs, , matte, mostly, yes, , kiss kiss bang bang.gif
cruella, NARS, lip pencil, matte, mostly, no, my favorite red, cruella.gif
